"","ADDRESSS","name","lat","long","accuracy","format_address"
"2330","123 EAST TREMONT AVENUE 10453","GOLDEN DRAGON RESTAURANT",40.8506816,40.8506816,"premise","123 E Tremont Ave, Bronx, NY 10453, USA"
"2331","123 ESSEX ST 10002","CHAMPION PIZZA",40.7197418,40.7197418,"street_address","123 Essex St, New York, NY 10002, USA"
"2332","123 GREENPOINT AVE 11222","FRENCH EPI",40.73035,40.73035,"street_address","123 Greenpoint Ave, Brooklyn, NY 11222, USA"
"2333","123 JAMAICA AVENUE 11207","BONAO BAR AND GRILL",40.6790922,40.6790922,"street_address","123 Jamaica Ave, Brooklyn, NY 11207, USA"
"2334","123 LUDLOW STREET 10002","HI THAI",40.7197614,40.7197614,"premise","123 Ludlow St, New York, NY 10002, USA"
"2335","123 MACDOUGAL ST 10012","BEN'S PIZZA",40.7303784,40.7303784,"street_address","123 Macdougal St, New York, NY 10012, USA"
"2336","123 MULBERRY STREET 10013","IL CORTILE RESTAURANT",40.7179447,40.7179447,"street_address","123 Mulberry St, New York, NY 10013, USA"
"2337","123 RIVINGTON STREET 10002","WELCOME TO THE JOHNSON'S",40.7196431,40.7196431,"street_address","123 Rivington St, New York, NY 10002, USA"
"2338","123 W 28TH ST 10001","CAMBRIA HOTELS & SUITES NEW YORK-CHELSEA",40.7467552,40.7467552,"premise","123 W 28th St, New York, NY 10001, USA"
"2339","123 W 3RD ST 10012","KULU DESSERTS",40.7307469,40.7307469,"premise","123 W 3rd St, New York, NY 10012, USA"
"2340","123 W 52ND ST 10019","OCEAN PRIME",40.7617296,40.7617296,"street_address","123 W 52nd St, New York, NY 10019, USA"
"2341","123 W 56TH ST 10019","Indian Accent",40.7640838,40.7640838,"street_address","123 W 56th St, New York, NY 10019, USA"
"2342","123 WASHINGTON ST 10006","THE ENGLISH OYSTER BAR AND CHOPHOUSE",40.7092191,40.7092191,"street_address","123 Washington St, New York, NY 10006, USA"
"2343","123 WASHINGTON STREET 10006","THE LIVING ROOM",40.7092191,40.7092191,"street_address","123 Washington St, New York, NY 10006, USA"
"2344","123 WEST   13 STREET 10011","SODEXO AMERICA",40.7373141,40.7373141,"premise","123 W 13th St, New York, NY 10011, USA"
"2345","123 WEST   39 STREET 10018","GABBY O'HARAS",40.7535778,40.7535778,"street_address","123 W 39th St, New York, NY 10018, USA"
"2346","123 WEST   43 STREET 10036","TOWN HALL THEATRE",40.7561154,40.7561154,"street_address","123 W 43rd St, New York, NY 10036, USA"
