"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"102","242 HIMROD ST 11237","DARLING'S",40.699996,-73.9197525,"premise","242 Himrod St, Brooklyn, NY 11237, USA"
"103","242 MOTT STREET 10012","CAFE GITANE",40.7231554,-73.9947242,"premise","242 Mott St, New York, NY 10012, USA"
"104","242 WEST   16 STREET 10011","THE GREY DOG",40.7404343,-74.0007775,"street_address","242 W 16th St, New York, NY 10011, USA"
"105","242 WEST   34 STREET 10001","GARRETT POPCORN SHOPS",40.752981,-73.9953338,"route","W 34th St, New York, NY 10001, USA"
"106","242 WEST   49 STREET 10019","CIELO AT THE MAYFAIR",40.7611761,-73.9859588,"premise","242 W 49th St, New York, NY 10019, USA"
"107","242 WEST   56 STREET 10019","SZECHUAN GOURMET",40.7656618,-73.9829817,"street_address","242 W 56th St, New York, NY 10019, USA"
"108","242 WEST 45th Street 10036","BERNARD B JACOBS THEATER",40.7587254,-73.9877258,"street_address","242 W 45th St, New York, NY 10036, USA"
"109","242-244 EAST   79 STREET 10075","SOJOURN",40.7733602,-73.9557274,"street_address","244 E 79th St, New York, NY 10075, USA"
"110","24202 61 AVENUE 11362","BURGER KING",40.7543546,-73.7385742,"premise","242-02 61st Ave, Douglaston, NY 11362, USA"
"111","24203 NORTHERN BLVD 11363","ITZ FIRE",40.7655492,-73.7441019,"street_address","242-03 Northern Blvd, Douglaston, NY 11362, USA"
"112","24205 NORTHERN BLVD 11362","AEGEA WEST",40.765337,-73.744132,"street_address","242-5 Northern Blvd, Little Neck, NY 11362, USA"
"113","2421 ADAM CLAYTON POWELL JR B 10030","POLANCO RESTAURANT BBQ",40.8191934,-73.9405196,"street_address","2421 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA"
"114","2421 STEINWAY STREET 11103","NOISETTE CAFE",40.7684173,-73.9110423,"street_address","24-21 Steinway St, Long Island City, NY 11103, USA"
"115","24222 MERRICK BOULEVARD 11422","NEW KIM'S CHINESE FOOD",40.6738395,-73.7310917,"street_address","242-22 Merrick Blvd, Rosedale, NY 11422, USA"
"116","2423 ARTHUR AVE 10458","MALESIA CAFE",40.856271,-73.88732,"street_address","2423 Arthur Ave, Bronx, NY 10458, USA"
"117","2424 3RD AVE 10454","FILTERED COFFEE BRONX",40.8094321,-73.9293453,"street_address","2424 Third Ave, Bronx, NY 10454, USA"
"118","2424 BROADWAY 10024","DUNKIN' DONUTS",40.7903926,-73.9745609,"street_address","2424 Broadway, New York, NY 10024, USA"
"119","2425 BROADWAY 10024","OLLIES TO GO",40.7904902,-73.9752417,"street_address","2425 Broadway, New York, NY 10024, USA"
"120","2425 CONEY ISLAND AVE 11223","BURGER KING",40.5977156,-73.9608039,"premise","2425 Coney Island Ave, Brooklyn, NY 11223, USA"
"121","2425 GRAND CONCOURSE 10468","MOM'S BAKERY",40.8609173,-73.8984529,"premise","2425 Grand Concourse, Bronx, NY 10468, USA"
"122","2425 HYLAN BOULEVARD 10306","DUNKIN' DONUTS",40.5721276,-74.1086699,"premise","2425 Hylan Blvd, Staten Island, NY 10306, USA"
"123","2425 STEINWAY STREET 11103","SABRY'S SEAFOOD RESTAURANT",40.7683047,-73.9110307,"street_address","2425 Steinway St, Astoria, NY 11103, USA"
"124","2426 JEROME AVENUE 10468","STEVE'S BAKERY",40.8620949,-73.901158,"street_address","2426 Jerome Ave, Bronx, NY 10468, USA"
"125","2426 PITKIN AVENUE 11208","LA BONA PIZZA RESTAURANT",40.6736445,-73.8827754,"premise","2426 Pitkin Ave, Brooklyn, NY 11208, USA"
"126","2427 BROADWAY 10024","CANDLE CAFE WEST",40.7905977,-73.9752697,"street_address","2427 Broadway, New York, NY 10024, USA"
"127","2428 CRESTON AVENUE 10468","SZECHUAN GARDEN",40.861424,-73.8986327,"street_address","2428 Creston Ave, Bronx, NY 10468, USA"
"128","2428 HUGHES AVE 10458","",40.8559326,-73.8861327,"street_address","2428 Hughes Ave, Bronx, NY 10458, USA"
"129","2428 JACKSON AVENUE 11101","BROOKS 1890 RESTAURANT",40.7462675,-73.9441069,"street_address","2428 Jackson Ave, Long Island City, NY 11101, USA"
"130","243 3 AVENUE 10003","DUNKIN' DONUTS, BASKIN ROBBINS",40.7367596,-73.9843376,"premise","243 3rd Ave, New York, NY 10003, USA"
"131","243 9 AVENUE 10001","DUNKIN' DONUTS",40.7476704,-74.0005323,"street_address","243 9th Ave, New York, NY 10001, USA"
"132","243 BEACH 20TH ST 11691","CHANG XING KITCHEN",40.5961391,-73.7541532,"street_address","2-43 Beach 20th St, Far Rockaway, NY 11691, USA"
"133","243 BEDELL AVENUE 10307","SOUTH SHORE LITTLE LEAGUE CONCESION STAND",40.5077921,-74.2330497,"premise","243 Bedell Ave, Staten Island, NY 10307, USA"
"134","243 BLEECKER STREET 10014","PASTICCERIA ROCCO",40.7308639,-74.0025543,"premise","243 Bleecker St, New York, NY 10014, USA"
"135","243 BUSHWICK AVENUE 11206","BUSHWICK PITA PALACE",40.7075326,-73.9395954,"premise","243 Bushwick Ave, Brooklyn, NY 11206, USA"
"136","243 DEKALB AVENUE 11205","ROMAN'S",40.6896356,-73.9694978,"premise","243 Dekalb Ave, Brooklyn, NY 11205, USA"
"137","243 E 14TH ST 10003","THE WINSLOW",40.732778,-73.9852114,"premise","243 E 14th St, New York, NY 10003, USA"
"138","243 EAST   53 STREET 10022","LUNA PIENA",40.7572383,-73.9676585,"premise","243 E 53rd St, New York, NY 10022, USA"
"139","243 EAST   58 STREET 10022","FELIDIA RESTAURANT",40.7603679,-73.9651112,"premise","243 E 58th St, New York, NY 10022, USA"
"140","243 FIFTH AVENUE 11215","HIGH DIVE",40.6749187,-73.9812136,"premise","243 5th Ave, Brooklyn, NY 11215, USA"
"141","243 GRAND STREET 10002","GOOD CENTURY CAFE",40.7181579,-73.9944395,"premise","243 Grand St, New York, NY 10002, USA"
"142","243 MALCOLM X BLVD 11233","NATURAL BLEND 2",40.68447,-73.9291,"street_address","243 Malcolm X Blvd, Brooklyn, NY 11233, USA"
"143","243 W 116TH ST 10026","PIKINE AFRICAN RESTAURANT",40.8041966,-73.9544184,"street_address","243 W 116th St, New York, NY 10026, USA"
"144","243 W 14TH ST 10011","HOT N JUICY CRAWFISH",40.7395587,-74.0013217,"premise","243 W 14th St, New York, NY 10011, USA"
"145","243 W 38TH ST 10018","INDIAN PROJECT",40.7542964,-73.9902275,"premise","243 W 38th St, New York, NY 10018, USA"
